iso3,year,tau_tamar,tau_mitchell,rgdp,gdp_deflator,cpi_gmd,unemployment_rate_pct,imports,exports,customs_revenue,ind_prod,ind_prod_base
ESP,1910,15.47619047619048,15.476190476190476,62716.18,0.172261,0.1620386,,1092.0,1255.0,169.0,93.0,1937=100
ESP,1911,14.520098441345361,14.520098441345365,67589.3,0.1735418,0.1562633,,1219.0,1396.0,177.0,95.1,1937=100
ESP,1912,13.417346182357301,13.417346182357301,65416.45,0.1816654,0.1640187,,1349.0,1509.0,181.0,104.0,1937=100
ESP,1913,14.231499051233401,14.231499051233397,69266.98,0.1849355,0.1650088,,1581.0,1552.0,225.0,100.0,1937=100
ESP,1914,17.932296431838978,17.932296431838974,67567.38,0.1895874,0.1645137,,1093.0,881.0,196.0,63.0,1937=100
ESP,1915,11.26050420168067,11.260504201680673,68716.34,0.2043854,0.1801895,,1190.0,1509.0,134.0,65.8,1937=100
ESP,1916,10.54852320675106,10.548523206751055,71933.72,0.2252814,0.2125313,,1422.0,1515.0,150.0,68.9,1937=100
ESP,1917,8.477722772277229,8.477722772277227,71032.34,0.247695,0.2476781,,1616.0,2522.0,137.0,67.6,1937=100
ESP,1918,6.752954417557682,6.752954417557682,70356.63,0.302721,0.3598841,,1777.0,2299.0,120.0,68.8,1937=100
ESP,1919,8.66274179983179,8.66274179983179,71571.36,0.3213035,0.3674745,,2378.0,2929.0,206.0,63.8,1937=100
ESP,1920,5.698630136986301,5.698630136986301,77201.44,0.3538477,0.3755599,,5475.0,1710.0,312.0,66.8,1937=100
ESP,1921,15.095756665414939,15.095756665414946,79719.88,0.3155654,0.302626,,2663.0,1999.0,402.0,67.5,1937=100
ESP,1922,17.84841075794621,17.848410757946212,83097.16,0.3064546,0.264674,,2863.0,1562.0,511.0,68.7,1937=100
ESP,1923,15.10521764197175,15.10521764197175,83910.85,0.3034829,0.2666541,,3469.0,1817.0,524.0,77.1,1937=100
ESP,1924,16.5819209039548,16.581920903954803,86636.91,0.3224364,0.2956957,,3540.0,2169.0,587.0,81.0,1937=100
ESP,1925,17.211652794292508,17.211652794292508,92519.74,0.320284,0.3003159,,3364.0,2297.0,579.0,84.3,1937=100
ESP,1926,9.742441209406495,9.742441209406495,91628.68,0.3166612,0.3037622,,2679.0,2249.0,261.0,89.0,1937=100
ESP,1927,21.36498516320475,21.364985163204746,100503.2,0.308663,0.3052391,,2696.0,2148.0,576.0,91.6,1937=100
ESP,1928,20.60766182298547,20.60766182298547,100259.5,0.3032559,0.2970338,,3028.0,2518.0,624.0,37.0,1937=100
ESP,1929,16.816431322207958,16.816431322207958,108270.0,0.3022011,0.2970338,,3895.0,2506.0,655.0,43.0,1937=100
ESP,1930,14.58279845956354,14.582798459563543,103096.4,0.3173662,0.2885002,,3895.0,3250.0,568.0,53.0,1937=100
ESP,1931,16.45952300974135,16.45952300974135,101129.9,0.3174331,0.3364195,,2977.0,2525.0,490.0,57.0,1937=100
ESP,1932,17.353433835845898,17.353433835845895,104745.8,0.3064752,0.2937516,,2985.0,1757.0,518.0,58.0,1937=100
ESP,1933,21.4636323070058,21.463632307005803,101950.1,0.299741,0.2742229,6.207859,2241.0,1488.0,481.0,61.0,1937=100
ESP,1934,17.47211895910781,17.472118959107807,106119.1,0.318507,0.301957,6.596405,2690.0,1517.0,470.0,70.0,1937=100
ESP,1935,15.63949635520212,15.639496355202121,108357.7,0.3218971,0.2904695,6.562978,3018.0,1381.0,472.0,83.0,1937=100
ESP,1940,21.54939106901218,10.00483325277912,90805.95,0.5319839,0.4924326,4.59403,2069.0,1315.0,207.0,116.0,1937=100
ESP,1941,13.711507293354941,12.665310274669379,91248.27,0.585221,0.5900425,4.360866,1966.0,1863.0,249.0,78.5,1937=100
ESP,1942,26.88966116420504,21.61036557149468,96923.48,0.6640114,0.6733228,2.857127,2161.0,2249.0,467.0,83.7,1937=100
ESP,1943,18.54411425938724,22.092307692307692,102071.3,0.6789085,0.7709327,2.173651,3250.0,3142.0,718.0,86.6,1937=100
ESP,1944,16.98849229568949,21.549391069012177,106642.6,0.7496651,0.8301055,1.510188,2956.0,3422.0,637.0,91.4,1937=100
ESP,1945,14.44958744214128,13.711507293354943,98361.3,0.8065055,0.9031022,1.399118,3085.0,3150.0,423.0,77.0,1937=100
ESP,1946,16.279069767441857,26.889661164205037,102763.8,0.9762068,1.075395,1.668146,2302.0,2909.0,619.0,81.0,1937=100
ESP,1947,16.66666666666667,18.54411425938724,105070.7,1.110474,1.294553,1.285747,4341.0,3353.0,805.0,93.0,1937=100
ESP,1948,17.54385964912281,16.988492295689486,105613.6,1.192446,1.388524,1.067837,5127.0,3959.0,871.0,114.0,1937=100
ESP,1949,18.46153846153846,14.449587442141276,106062.4,1.271799,1.463621,1.713573,4969.0,4163.0,718.0,32.0,1963=100
ESP,1950,17.91044776119403,16.27906976744186,108072.7,1.540897,1.622397,1.475793,4300.0,4300.0,700.0,37.0,1963=100
ESP,1951,20.58823529411765,16.666666666666668,118929.3,1.761528,1.775349,1.273839,4200.0,5100.0,700.0,42.0,1963=100
ESP,1952,26.190476190476193,17.54385964912281,129624.6,1.672855,1.7401,0.9347741,5700.0,4500.0,1000.0,48.0,1963=100
ESP,1953,25.53191489361702,18.46153846153846,129476.3,1.634225,1.768299,0.9327858,6500.0,5200.0,1200.0,50.0,1963=100
ESP,1954,28.125,17.91044776119403,138878.3,1.773839,1.790062,1.058525,6700.0,5100.0,1200.0,52.0,1963=100
ESP,1955,6.079664570230608,20.58823529411765,143686.9,1.920898,1.859467,1.037297,6800.0,4900.0,1400.0,54.0,1963=100
ESP,1956,12.70207852193996,26.19047619047619,155495.1,2.046718,1.968295,0.9,8400.0,4800.0,2200.0,59.0,1963=100
ESP,1957,19.76470588235294,25.53191489361702,161056.8,2.306207,2.180329,0.8,9400.0,5200.0,2400.0,64.0,1963=100
ESP,1958,11.04033970276009,28.125,171776.7,2.489085,2.472034,0.7,9600.0,5300.0,2700.0,66.0,1963=100
ESP,1959,10.427350427350431,6.079664570230608,168876.5,2.6106,2.652735,0.8,47700.0,29900.0,2900.0,67.0,1963=100
ESP,1960,10.44444444444445,12.702078521939955,173183.6,2.608613,2.683978,2.4,43300.0,43500.0,5500.0,72.0,1963=100
ESP,1961,8.055555555555555,19.764705882352942,194897.3,2.652851,2.705698,2.4,42500.0,65500.0,8400.0,81.0,1963=100
ESP,1962,9.065420560747665,11.040339702760084,214398.7,2.792947,2.860098,1.6,94200.0,44200.0,10400.0,91.0,1963=100
ESP,1963,8.530805687203792,10.427350427350428,234665.1,3.010324,3.110176,2.0,117000.0,44100.0,12200.0,100.0,1963=100
ESP,1964,7.183673469387755,10.444444444444445,247031.1,3.233071,3.327244,2.8,135000.0,57300.0,14100.0,112.0,1963=100
ESP,1965,7.142857142857142,8.055555555555555,262478.9,3.529609,3.76691,2.6,180000.0,58000.0,14500.0,126.0,1963=100
